zone,gu,ztype,pop,youth_ratio,aging_ratio,pop_growth_5y,active_biz,biz_diversity,biz_net_growth,closure_rate,vacancy_rate,old_building,transit_density,공원,문화,보육,복지,의료,soc_total,soc_per_capita,soc_access,biz_density,area_km2,pop_density,D_인구활력,D_경제활력,D_생활SOC,D_주거,D_이동성,CBI,cluster,stage
부성동,서북구,신도심,120840.0,35.552797087057264,8.119414101290962,15.990439715495143,1086,1.9437827587463166,,,6.1,23.792353370297267,,0,102,0,206,107,415,3.434293280370738,80.94290100892505,8.987090367428005,18.0,6713.333333333333,62.87453186585687,18.461978441114997,22.480746900413113,99.50215997823896,,59.1748114191607,2,활력
백석동,서북구,신도심,40269.0,24.239489433559314,9.986590181032556,-0.486828448574117,1050,1.9392626178267425,,,6.1,22.49682092897728,,23,85,41,203,184,536,13.310486975092504,93.76954496282565,26.074647992252107,4.8,8389.375,40.46350693593935,24.404033999953768,39.869606405165634,100.0,,56.66397113123923,2,활력
불당동,서북구,신도심,68841.0,27.714588689879577,6.3298034601472954,-1.7777904604277528,1128,1.9453946024024285,,,6.1,16.16833097427539,,0,126,0,214,122,462,6.711116921601953,88.96902024061318,16.38558417222295,4.4,15645.681818181816,43.387016312598554,23.388769557222744,28.412666828228467,100.0,,55.25257304145755,2,활력
성정동,서북구,기성시가지,41188.0,36.389239584344956,17.778236379528018,-4.171610711709828,692,1.942915071725591,,,6.1,39.39494950763103,,0,61,0,113,73,247,5.996892298727785,94.74110693819358,16.80101000291347,3.6,11441.111111111111,43.892387115326606,21.463946225078896,29.15048606503085,92.0075610851532,,52.627068233357946,2,활력
문성동,동남구,원도심,7799.0,30.350044877548406,16.61751506603411,81.20353159851301,443,1.9376135411379263,,,9.4,57.853004695380214,,8,49,15,73,63,208,26.670085908449803,95.03964925996274,56.80215412232337,2.1,3713.809523809524,91.01943754909594,45.104777034589084,60.407149862622674,5.390209794967886,,49.47429806217517,4,관찰
성거읍,서북구,읍지역,21301.0,21.337026430684006,20.38167222196141,-1.4481354677523872,473,1.9443739201611274,,,6.1,44.99189519905067,,7,45,13,79,64,208,9.764799774658467,62.694877840177945,22.205530256795456,34.0,626.5,31.796376345692234,26.93844829636436,24.756575080105407,89.3191070218448,,48.15043100955901,2,활력
직산읍,서북구,읍지역,18963.0,22.934134894267785,21.06734166534831,-5.175517551755171,441,1.9392009628264488,,,6.1,33.0417016520023,,7,40,13,88,61,209,11.021462848705374,47.43087175460617,23.25581395348837,39.0,486.2307692307692,30.202105883302604,22.28177860078951,21.85266436565171,95.05929965014506,,48.1266875528763,2,활력
쌍용동,서북구,기성시가지,62572.0,26.494278591063097,18.42837051716423,-10.665029553696359,717,1.9451010945432803,,,6.1,39.36947498155516,,0,63,0,130,76,269,4.29904749728313,98.3529887340485,11.458799463018604,5.4,11587.407407407407,30.823772564979585,19.792448372104946,27.953570442113325,92.01979759715732,,48.034706409050635,2,활력
입장면,서북구,농촌면,7331.0,15.100259173373345,37.11635520392853,-13.386105860113418,301,1.9325006164616514,,,6.1,49.586703124593726,,3,22,5,52,39,121,16.505251670986222,22.049687795211277,41.058518619560765,43.0,170.48837209302326,9.189800565046289,28.252274183859992,22.14041927832588,87.11202288728094,,40.13972800754727,3,주의
성환읍,서북구,읍지역,21396.0,17.951953636193682,31.438119274630772,-10.420766171237183,423,1.9320822540026872,,,6.1,50.73834135492447,,7,35,13,72,81,208,9.72144326042251,16.512601823631158,19.770050476724624,57.0,375.36842105263156,16.68210561719284,12.274082286208055,10.173920474201948,86.55884144681414,,37.19785047075567,3,주의
