,weight,도메인,지표명
transit_density,0.22778400700752943,이동성,km2당 버스정류장수
closure_rate,0.11081639500968432,경제활력,폐업률
old_building,0.09771546490755775,주거,노후(30년+) 건물 비율
soc_access,0.09690118961132639,생활SOC,생활SOC 접근성 점수
vacancy_rate,0.08837718039403912,주거,빈집 추정률
biz_diversity,0.0837894472268327,경제활력,업종 다양성(Shannon)
soc_per_capita,0.07693066026952596,생활SOC,인구천명당 생활SOC수
youth_ratio,0.07176416687485937,인구활력,청년(20~39세) 비율
aging_ratio,0.05844735903425043,인구활력,고령(65세+) 비율
biz_density,0.050278186785007305,경제활력,인구천명당 사업체수
biz_net_growth,0.03719594287938723,경제활력,상권 순증감률(개업-폐업)
