zone,risk,risk_pred,risk_delta
중앙동,100.0,94.56371039573054,-5.4362896042694615
원성동,82.39999999999999,92.38424564383828,9.984245643838292
풍세면,69.6,84.71239004882752,15.112390048827521
수신면,88.0,83.33125978651297,-4.668740213487027
동면,84.8,83.00070127806845,-1.7992987219315495
광덕면,56.8,72.43678435945893,15.636784359458929
성남면,72.8,72.21219637570049,-0.5878036242995108
문성동,64.0,70.67765733606043,6.6776573360604345
북면,51.2,66.87327197301806,15.67327197301806
봉명동,44.800000000000004,54.56813935785976,9.76813935785976
병천면,70.39999999999999,52.6753667649348,-17.72463323506519
성환읍,71.2,48.11558952549103,-23.08441047450897
입장면,43.2,46.967471043912695,3.7674710439126926
목천읍,36.8,45.0925545940434,8.292554594043402
일봉동,53.6,45.01704125656407,-8.582958743435931
성거읍,36.0,41.6353384065373,5.635338406537301
쌍용동,39.2,36.296318036325424,-2.903681963674579
직산읍,28.799999999999997,25.716731732844405,-3.083268267155592
성정동,31.2,24.20345816090041,-6.996541839099589
신방동,28.000000000000004,23.927866111501192,-4.072133888498811
청룡동,20.0,16.795971326884793,-3.2040286731152072
신안동,20.8,16.015111911448738,-4.784888088551263
부성동,5.6000000000000005,7.434384378372538,1.8343843783725378
불당동,2.4,7.030085060304021,4.630085060304021
백석동,12.0,6.946913131283278,-5.053086868716722
