,mean_abs_shap
open_rate,14.194285619994192
old_building,3.381224760158213
pop_yoy,3.0579674744298053
pop_3y,2.39190202979828
biz_3y,1.9403974658291778
vacancy_rate,1.5651530454694638
net_entry,1.543812797387868
soc_access,1.495140097343664
biz_per_1k,1.4278582040415662
closure_rate,1.0074890928610782
active,1.007032115062047
aging_ratio,0.7628835120574058
biz_yoy,0.7559761103243247
pop,0.5839343150391361
soc_per_capita,0.5645027725244647
youth_ratio,0.4247182897642766
transit_density,0.367851105309635
risk,0.24300276365866075
pop_density,0.1172748218391655
