순위,생활권,시설유형,위도,경도,신규수혜인구,취약가중수요,커버리지개선률,빈집률,CBI,누적커버리지개선률
1,성거읍,복지,36.868,127.154,3446,6945.1,1.25,9.0,36.8,1.25
2,성거읍,의료,36.862,127.136,5810,6329.4,1.14,9.0,36.8,2.39
3,성환읍,의료,36.928,127.124,1894,3957.2,0.71,11.4,29.0,3.1
4,성남면,복지,36.766,127.178,3858,3106.4,0.56,13.9,14.7,3.66
5,성환읍,의료,36.928,127.106,1684,2779.8,0.5,11.4,29.0,4.16
6,입장면,보육,36.892,127.166,1808,2314.9,0.42,12.8,23.0,4.58
7,북면,의료,36.736,127.25,765,2194.3,0.39,14.2,15.6,4.97
8,성남면,의료,36.772,127.184,2550,2039.2,0.37,13.9,14.7,5.34
9,북면,복지,36.742,127.25,765,1968.7,0.35,14.2,15.6,5.69
10,입장면,의료,36.88,127.184,1066,1593.8,0.29,12.8,23.0,5.98
11,수신면,보육,36.736,127.238,574,1445.9,0.26,16.1,6.1,6.24
12,병천면,의료,36.754,127.298,520,1352.9,0.24,14.0,21.1,6.48
